"Rank","Release_Group","Worldwide_Gross","Domestic_Gross","Domestic_Percent","Foreign_Gross","Foreign_Percent","Year","Genres","Rating","Vote_Count","Original_Language","Production_Countries","Release Date","Description","No_of_Persons_Voted","Directed by","Written by","Duration","hours","minutes","Duration_min","Year_Group","Genre_Simplified","avg_rating","avg_gross","Quadrant"
17,"Vertical Limit",215663859,69243859,32.1,146420000,67.9,2000,"Adventure, Action, Thriller",6.011,1025,"en","Germany, United States of America","Dec 8, 2000","Tale of young climber Peter Garrett (O'Donnell), who must launch a treacherous and extraordinary rescue effort up K2, the world's second highest peak. Confronting both his own limitations and the awesome power of nature' uncontrollable elements, Peter risks his life to save his sister, Annie (Tunney), and her summit team (Paxton and Lea) in a race against time.  (Columbia Pictures)",43,"Martin Campbell","Robert King, Terry Hayes","2 h 4 m",2,4,124,"2000-2008","Action",6.54830329153605,156739315.50209,"Low Rating & High Gross"
18,"The Patriot",215294342,113330342,52.6,101964000,47.4,2000,"Drama, History, War, Action",7.183,3926,"en","Germany, United States of America","Jun 28, 2000","In this story of the American Revolution, Gibson plays a pacifist turned warrior.  Gibson joins his son (Ledger) in a bitter and personal battle for independence after experiencing the iron fist of a cold-blooded British officer.",181,"Roland Emmerich","Robert Rodat","2 h 45 m",2,45,165,"2000-2008","Action",6.54830329153605,156739315.50209,"High Rating & High Gross"
19,"Crouching Tiger, Hidden Dragon",213525736,128078872,60,85446864,40,2000,"Adventure, Drama, Action, Romance",7.43,3213,"zh","Hong Kong, Taiwan, United States of America","Dec 8, 2000","In 19th century China, a magical sword given by a warrior (Chow Yun-Fat) to his lover (Michelle Yeoh) is stolen and the quest to find it ensues.  The search leads to the House of Yu where the story travels in a different direction with the introduction of a mysterious assassin and another love story.",563,"Ang Lee","Hui-Ling Wang, James Schamus, Kuo Jung Tsai, Du Lu Wang","2 h",2,0,120,"2000-2008","Action",6.54830329153605,156739315.50209,"High Rating & High Gross"
20,"Miss Congeniality",212742720,106807667,50.2,105935053,49.8,2000,"Comedy, Crime, Action",6.531,3900,"en","United States of America","Dec 22, 2000","When an infamous terrorist threatens to bomb the revered Miss United States pageant, the FBI finds an agent (Bullock) to infliltrate the contest -- as a contestant.",194,"Donald Petrie","Marc Lawrence, Katie Ford, Caryn Lucas","1 h 49 m",1,49,109,"2000-2008","Action",6.54830329153605,156739315.50209,"Low Rating & High Gross"
21,"Traffic",207515725,124115725,59.8,83400000,40.2,2000,"Thriller, Drama, Crime",7.067,2156,"en","United States of America","Dec 27, 2000","Traffic evokes the high stakes and high risks of the drug trade, as seen through a series of interrelated stories, some of which are highly personal and some of which are filled with intrigue and danger.  (USA Films)",330,"Steven Soderbergh","Simon Moore, Stephen Gaghan","2 h 27 m",2,27,147,"2000-2008","Thriller",6.54830329153605,156739315.50209,"High Rating & High Gross"
22,"Hollow Man",190213455,73209340,38.5,117004115,61.5,2000,"Action, Science Fiction, Thriller",5.9,2521,"en","Germany, United States of America","Aug 4, 2000","A government scientist (Bacon) discovers how to make people invisible.  After a freak accident that makes him slowly disappear, he begins to go insane and seeks revenge on the other scientists on the project.",379,"Paul Verhoeven","Gary Scott Thompson, Andrew W. Marlowe","1 h 52 m",1,52,112,"2000-2008","Action",6.54830329153605,156739315.50209,"Low Rating & High Gross"
23,"102 Dalmatians",183611771,66957026,36.5,116654745,63.5,2000,"Family, Comedy",5.5,1356,"en","United States of America","Nov 22, 2000","Just when it seemed safe to come out of the kennel, Cruella De Vil is back and this time she's not alone.  (Walt Disney Pictures)",77,"Michael D Moore, 
    
      Kevin Lima","Dodie Smith, Kristen Buckley, Brian Regan, Bob Tzudiker, Noni White","1 h 40 m",1,40,100,"2000-2008","Comedy",6.54830329153605,156739315.50209,"Low Rating & High Gross"
24,"Big Momma's House",173959438,117559438,67.6,56400000,32.4,2000,"Crime, Comedy",5.815,2294,"en","Germany, United States of America","Jun 2, 2000","Disguised as an old lady, an FBI agent (Lawrence) attempts to protect a beautiful federal witness and her son.",83,"Raja Gosnell","Darryl Quarles, Don Rhymer","1 h 38 m",1,38,98,"2000-2008","Comedy",6.54830329153605,156739315.50209,"Low Rating & High Gross"
25,"The Emperor's New Groove",169327687,89302687,52.7,80025000,47.3,2000,"Adventure, Animation, Comedy, Family, Fantasy",7.559,6749,"en","United States of America","Dec 15, 2000","Emperor Kuzco (David Spade) is turned into a llama by his devious advisor, Yzma (Eartha Kitt), and her hunky henchman, Kronk (Patrick Warburton). Now the ruler who once had it all must form an unlikely alliance with a pleasant peasant named Pacha (John Goodman). Together, they must overcome their differences as they embark on a hilarious, ""groovy"" adventure. [Walt Disney Pictures]",276,"Mark Dindal","Chris Williams, Mark Dindal, David Reynolds, Stephen J. Anderson, Don Hall, John Norton, Roger Allers","1 h 18 m",1,18,78,"2000-2008","Adventure",6.54830329153605,156739315.50209,"High Rating & High Gross"
26,"Nutty Professor II: The Klumps",166339890,123309890,74.1,43030000,25.9,2000,"Fantasy, Comedy, Romance, Science Fiction",4.993,1306,"en","United States of America","Jul 28, 2000","A University Professor (Jackson) becomes the love interest of Klump (Murphy).  Her research is helpful to Klump when his alter ego Buddy Love threatens their romance.",45,"Peter Segal","Jerry Lewis, Steve Oedekerk, Barry W. Blaustein, David Sheffield, Paul Weitz, Chris Weitz","1 h 46 m",1,46,106,"2000-2008","Science Fiction",6.54830329153605,156739315.50209,"Low Rating & High Gross"
